threshold,FPR,FNR,recall,accuracy,BLOCKED_UNC_pct,TN,FP,FN,TP
0.2,0.04737091425864519,0.03473861720067454,0.9652613827993255,0.9600078802206462,25.591016548463358,2011,100,103,2862
0.25,0.05352913311226907,0.034401349072512646,0.9655986509274873,0.9576438140267928,27.659574468085108,1998,113,102,2863
0.3,0.05873993368072004,0.03406408094435076,0.9659359190556492,0.9556737588652482,28.112687155240344,1987,124,101,2864
0.35,0.06395073424917101,0.03338954468802698,0.966610455311973,0.9539007092198581,28.684003152088263,1976,135,99,2866
0.4,0.06631927996210327,0.03204047217537943,0.9679595278246206,0.9537037037037037,28.940110323089048,1971,140,95,2870
0.45,0.08953102794883941,0.027655986509274873,0.9723440134907251,0.9466115051221434,30.260047281323878,1922,189,82,2883
0.5,0.09616295594504974,0.02664418212478921,0.9733558178752107,0.9444444444444444,31.619385342789595,1908,203,79,2886
0.55,0.1004263382283278,0.024620573355817875,0.9753794266441821,0.943853427895981,32.131599684791176,1899,212,73,2892
0.6,0.11984841307437233,0.01888701517706577,0.9811129848229342,0.9391252955082743,33.37273443656422,1858,253,56,2909
0.65,0.15490288962576979,0.0178752107925801,0.9821247892074199,0.9251379038613081,36.17021276595745,1784,327,53,2912
0.7,0.1842728564661298,0.01517706576728499,0.984822934232715,0.9144996059889677,37.5886524822695,1722,389,45,2920
0.75,0.18664140217906205,0.01517706576728499,0.984822934232715,0.9135145784081954,37.72655634357762,1717,394,45,2920
0.8,0.18711511132164851,0.01517706576728499,0.984822934232715,0.913317572892041,37.825059101654844,1716,395,45,2920
0.85,0.2008526764566556,0.011804384485666104,0.9881956155143339,0.9095744680851063,38.71158392434988,1687,424,35,2930
0.9,0.21222169587873047,0.01011804384485666,0.9898819561551433,0.9058313632781718,41.213553979511424,1663,448,30,2935
